Date,Zxuanhoa,Sxuanhoa,Zgocat,Sgocat,Zlonguong,Slonguong,Zrachbun,Srachbun,Zvamgiong,Svamgiong
2024-01-01 21:00:00,1.1099999999999999,0.0,0.98576,0.0,0.72,1.821139705882353,0.715,21.046875,1.0822222222222222,0.0
2024-01-01 22:00:00,0.8266666666666667,0.0,0.6542399999999999,0.0,0.49370370370370376,1.5882352941176472,0.4574074074074074,20.050000000000004,0.88,0.0
2024-01-01 23:00:00,0.6118628014562975,0.0,0.3764799999999999,0.0,0.3196296296296295,1.3862132352941177,0.2592592592592593,19.053125,0.6777777777777778,0.0
2024-01-02 00:00:00,0.43407954887629685,0.0,0.26,0.0,0.25,1.3,0.18,18.6,0.5222222222222223,0.0
2024-01-02 01:00:00,0.36,0.0,0.3328,0.0,0.3546875,1.4093749999999998,0.30343749999999997,18.891461267605635,0.46,0.0
2024-01-02 02:00:00,0.5123015873015874,0.0,0.5064,0.0,0.585,1.65,0.575,19.560563380281693,0.5365625,0.0
2024-01-02 03:00:00,0.74,0.0,0.7136,0.0,0.8153125,1.8906250000000004,0.8465624999999999,20.2993838028169,0.7050000000000001,0.0
2024-01-02 04:00:00,0.891372909342708,0.0,0.8871999999999998,0.0,0.92,2.0,0.97,20.8,0.8734375000000001,0.0
2024-01-02 05:00:00,0.99,0.0,0.96,0.0,0.8053352769679301,1.9684210526315788,0.8398250728862974,21.069718309859155,0.95,0.0
2024-01-02 06:00:00,1.02,0.0,0.8628906249999999,0.0,0.5096209912536444,1.9,0.5041107871720117,21.2,0.8567578124999999,0.0
2024-01-02 07:00:00,0.87,0.0,0.606875,0.0,0.10527696793002933,1.748842105263158,0.04507288629737627,20.7216,0.6109374999999999,0.0
2024-01-02 08:00:00,0.62,0.0,0.2449218750000001,0.0,-0.33527696793002915,1.4949473684210526,-0.45507288629737597,19.5808,0.26339843749999997,0.0
2024-01-02 09:00:00,0.25663982924226253,0.0,-0.16999999999999982,0.0,-0.7396209912536444,1.2166315789473683,-0.9141107871720118,18.219199999999997,-0.135,0.0
2024-01-02 10:00:00,-0.20238019210245461,0.0,-0.5849218749999998,0.0,-1.0353352769679298,0.9922105263157894,-1.2498250728862974,17.078400000000002,-0.5333984375000003,0.0
2024-01-02 11:00:00,-0.6557201280683029,0.0,-0.9468749999999997,0.0,-1.15,0.9,-1.38,16.6,-0.8809375000000004,0.0
